other_description,action
LIFTED SUBJECT INTO TRANSPORT,Other description
LIFTED SUBJECT INTO VEHICLE,Other description
LIFTED SUBJECT OFF GROUND,Take down
LIFTED SUJECTS LEG TO MAINTAIN,Other description
LIFTED/ASSISTED INTO WAGON,Other description
LIFTING & PUSHING,Other description
"LIFTING, CARRYING",Other description
LIMB AND BODY RESTRAINT HOLDS,Other description
LIMB RESTRAINT HOLDS,Other description
LOG # 1084287,Other description
LOOK IN ADDITIONAL INFO,Other description
LOST GRIP - WET CONDITIONS,Other description
LOWER (MID SECTION) BODY HOLD,Other description
LOWERED SUBJECT TO THE GROUND,Take down
LOWERED TO GROUND REQ ASST.,Take down
MACE DISCHARGED,OC/Chemical weapon
MACED,OC/Chemical weapon
MADE ENTRY TO APARTMENT,Other description
MADE HER SIT DOWN ,Other description
MAINTAIN COVER,Other description
MAINTAINED CONTROL,Other description
MAINTAINED CONTROL OF SUBJECT ,Other description
MAINTAINED HEAD CONTROL,Other description
MAINTAINED SUBJECTS UPPER BODY,Other description
MANEUVERED AROUND OFFENDER,Other description
MANEUVERED AROUND SUBJECT,Other description
MANEUVERED TO AVOID CAR,Other description
MANUAL RESTRAINT+ ASST.,Other description
MECHANICAL MANIPULATION,Other description
MECHANICAL STRIKES ,Other description
MEDICAL TREATMENT FOR OFFENDER,Other description
MEMBER ARRESTED OFFENDER,Other description
MEMBER BACKED UP SQUAD CAR,Other description
MEMBER CHASED,Other description
MEMBER DID NOT RESPOND.,Other description
MEMBER DISPLAYED WEAPON,Other description
MEMBER DREW DUTY WEAPON,Other description
MEMBER DREW HIS SERVICE WEAPON,Other description
MEMBER DREW HIS WEAPON,Other description
MEMBER FELL TO GROUND.,Take down
MEMBER FLED THE SCENE,Other description
MEMBER GAVE CHASE,Other description
MEMBER HELD SUBJECT DOWN,Other description
MEMBER HOLD SUBJECT PANT LEG,Other description
MEMBER IDENTIFIED HIMSELF,Other description
MEMBER INJURIED ,Other description
MEMBER IS THE SUBJECT.,Other description
MEMBER MOVED OUT OF THE WAY,Other description
MEMBER PURSUED OFFENDER,Other description
MEMBER RETREATED/TOOK COVER,Other description
MEMBER SAT DOING REPORTS,Other description
MEMBER STEPPED AWAY,Other description
MEMBER TACKLED SUBJECT ,Other description
MEMBER TRIED TO COVER FACE,Other description
MEMBER TURNED AWAY,Other description
MEMBER UNABLE TO RESPOND,Other description
MEMBER USING BODY TO RESTRAIN,Other description
MEMBER'S BODY ,Member presence
MEMBER'S PRESNCE,Member presence
MEMEBRS PRESCENCE,Member presence
MENTAL ESCORT,Other description
MET OFF.RESIS FROM PUSHED DOOR,Other description
MINIMAL NECESSARY FORCE,Other description
MISSED OFFENDER,Other description
MISSED SUBJECT,Other description
MOBILE FIELD FORCE TACTICS,Other description
MOTOROLA RADIO ,Other description
MOUNTED OFFENDER,Other description
MOVE HIM AWAY FROM VEH.,Other description
MOVE OUT OF ASSAILANTS WAY,Member presence
MOVE OUT OF VEH. WAY,Member presence
MOVED,Member presence
MOVED ,Member presence
MOVED ARM BACK TO AFFECTARREST,Other description
MOVED AWAY,Member presence
MOVED AWAY AS HE SPAT,Member presence
MOVED AWAY FROM SUBJECT,Member presence
MOVED AWAY FROM VEHICLE,Member presence
MOVED BACK,Member presence
MOVED BACKWARD DISPLAY WEAPON,Member presence
MOVED CIVLIAN AWAY  FROM HIM ,Other description
MOVED FROM OFFENDER'S REACH,Member presence
MOVED FROM VEHICLE PATH,Member presence
MOVED OFFENDER WITH FORCE ,Other description
MOVED OFFENDER'S HANDS AWAY,Other description
MOVED OUT OF DIRECT PATH,Member presence
MOVED OUT OF PATH OF CAR,Member presence
MOVED OUT OF PATH OF VEHICLE,Member presence
MOVED OUT OF THE WAY,Member presence
MOVED OUT OF VEHICLE'S PATH,Member presence
MOVED OUT OF VEHICLES PATH,Member presence
MOVED OUT OF WAY,Member presence
MOVED OUT OF WAY OF AUTO,Member presence
MOVED OUT OF WAY OF STRIKES,Member presence
MOVED OUT OF WAY OF VEHICLE,Member presence
MOVED SUBJECT FROM THRESHOLD,Member presence
MOVED SUBJECT OUT OF WAY,Other description
MOVED TO SIDE,Member presence
MOVED/JUMPED OUT OF HARMS WAY,Member presence
MOVED/JUMPED OUT OF HARMS WAY ,Member presence
MOVEMENT AND COVER,Other description
MOVEMENT AND COVER ,Other description
MULTIPLE (3) TRIGGER PULLS TO ,Other description
MULTIPLE ARC CYCLE,Taser
MULTIPLE OFFICERS,Other description
MULTIPLE WARNINGS,Verbal direction/control techniques
"N/A, OFF. ALREADY IN CUSTODY",Other description
NECCSARY FORCE TO EFFECTARREST,Other description
NECESSARY FORCE TO CONTROL SUB,Other description
NECESSARY FORCE TO SECURE,Other description
NECK HOLD,Other description
NEEDED FORCE TO ARREST,Other description
NEGATIVE PROBE CONTACT,Taser
NEGOTIATIONS,Verbal direction/control techniques
NEURO MUSCULAR HOLDS,Other description
NEURO-PAIN COMPLIANCE,Other description
"NIGHT STK, TO DELIVERY SYS",Other description
NIGHTSTICK,Other description
NO ACTION,Member presence
NO ACTION BY MEMBER,Member presence
NO ACTION OFFENDER ALREADY CUF,Member presence
NO ACTION TAKEN,Member presence
NO ACTIONS TAKEN,Member presence
NO BLOW STRUCK,Other description
NO CONTACT,Member presence
NO CONTACT MADE WITH OFFENDER,Member presence
NO CONTACT WITH PROBES,Taser
NO EFFECT DUE TO PUFFY COAT ,Taser
NO FORCE IN THIS CATEGORY USED,Other description
NO FORCE NECESSARY,Member presence
NO FORCE NECESSARY TO ARREST,Member presence
NO FORCE USED,Member presence
NO FORCE USED IN ARREST.,Member presence
NO FURTHER PHYSICAL CONTACT,Member presence
NO MEMBER RESPONSE,Other description
NO OPPERTUNITY TO TAKE ACTION,Other description
NO OTHER ACTION TAKEN BY R/O,Member presence
NO PENETRATION,Other description
NO PROBE CARTRIDGE USED,Taser
NO PROBE CARTRIDGE USED.,Taser
NO PROBE CONTACT,Taser
NO PROBE DISCHARGE,Taser
NO PROBE DISCHARGE / GLITCH,Taser
NO PROBE DISCHARGE!,Taser
NO PROBES,Taser
NO PROBES DISCHARGED,Taser
NO RESP. DUE TO PARTNER'S RESP,Other description
NO RESPONSE,Member presence
NO RESPONSE ,Member presence
NO RESPONSE BY THE OFFICER,Member presence
"NO RESPONSE, GAINED CONTROL.",Member presence
NO RESPONSE. ,Member presence
NO RESPONSE/GAINED CONTROL,Member presence
NO SIGNS OF PROBES CONNECTING ,Taser
NO SKIN CONTACT MADE,Taser
NO STRIKE,Other description
NO TIME TO REACT,Other description
NO TIME TO RESPOND,Member presence
NO USE OF FORCE,Member presence
NOT STRUCK,Other description
NOTHING MEMBER WAS ATTACKED,Other description
NOTIFIED 911,Verbal direction/control techniques
NOTIFIED 911 FOR BACKUP,Verbal direction/control techniques
NOTIFIED BT: 2510R,Verbal direction/control techniques
NOTIFIED CPD BT. 925,Verbal direction/control techniques
NOTIFIED DESK SGT.,Verbal direction/control techniques
NOTIFIED OEC,Verbal direction/control techniques
NOTIFIED SUBJECT OF HIS ARREST,Verbal direction/control techniques
O C SPRAY,OC/Chemical weapon
"O,C./SPRAY",OC/Chemical weapon
O/C ,OC/Chemical weapon
O/C DISCHARGE,OC/Chemical weapon
O/C SPRAY,OC/Chemical weapon
OBSERVED BATTERY TO P.O. #8791,Member presence
OBTAINED COVER POSITION,Other description
OEMC FLASH MESSAGE,Other description
OFF DUTY P.O. ANNOUNCED OFFICE,Verbal direction/control techniques
OFF WOUNDED BY P.O. YOUSIF,Other description
OFF-DUTY AND ANNOUNCED HIS OFF,verbal direction/control techniques
OFF. CONTINUED ASSAULT,Other description
"OFF. FLED, UNABLE TO RESPOND",Other description
OFF. WASN'T TAKEN TO GROUND,Take down
OFFENDER AND OFFICER BOTH FELL,Other description
OFFENDER FLED,Other description
OFFENDER FLED ,Other description
OFFENDER FLED AREA BEFORE R?O,Other description
OFFENDER FLED IN VEHICLE,Other description
OFFENDER FORCED INTO CAR,Other description
OFFENDER IN CUSTODY,Other description
OFFENDER LAID ON GROUND,Take down
OFFENDER LIFTED INTO SQUAD CAR,Other description
OFFENDER LIFTED UP IN SQUAD,Other description
OFFENDER NOT STRUCK BY PROBES,Taser
OFFENDER NOT TAKEN TO GROUND,Take down
OFFENDER PLACED AGAINST WALL,Other description
OFFENDER PLACED IN BEAR HUG,Other description
OFFENDER PLACED IN CUSTODY,Other description
OFFENDER PLACED INTO CUSTODY,Other description
OFFENDER PULLED OFF FENCE,Other description
OFFENDER PUSHED AWAY FROM R/O,Other description
OFFENDER TAKEN TO THE GROUND,Take down
OFFENDER WALKED AWAY,Other description
OFFENDER WAS NOT STRUCK,Other description
OFFENDER'S SCREWDRIVER,Other description
OFFENDERS SHIRT USED TO SHIELD,Other description
OFFENDERS STATEMENT.,Other description
OFFIC HAD WEAPON READY FOR USE,Other description
OFFICER DISPLAYED WEAPON ,Other description
OFFICER DREW HIS WEAPON,Other description
OFFICER DREW WEAPON,Other description
OFFICER FELL ON OFFENDER,Other description
OFFICER HELD DOWN SUBJECT,Other description
OFFICER HELD OFFENDERS LEGS,Other description
OFFICER HUGGED HER TO SECURE,Other description
OFFICER MOVED OUT OF THE WAY,Other description
OFFICER PURSUED ,Other description
OFFICER PUSHED OFFENDER AWAY,Other description
OFFICER PUSHED THE SUBJECT,Other description
OFFICER RAN AFTER OFFENDER,Other description
OFFICER REMOVED HIMSELF,Other description
OFFICER RESTRAINED OFF.LEGS ,Other description
OFFICER RESTRAINED SUBJECT,Other description
OFFICER UNABLE TO RESPOND,Other description
OFFICER USED HIS BODY WEIGHT,Other description
OFFICER WRAP ARMS AROUND PRIS,Other description
OFFICERS HAD TO CARRY SUBJECT,Other description
OFFICERS INCAPACITATED,Other description
OFFICERS JUMPED OUT OF WAY,Other description
OFFICERS PRYED ARMS OPEN,Other description
OFFICERS PRYED ARMS OPEN ,Other description
OFFICERS TOOK COVER FOR SAFETY,Other description
OFFICIER FELL ON TOP,Other description
ON TO A VEHICLE,Other description
ON TO VEHICLE,Other description
ONCE IN CUSTODY: COMPLIANT,Other description
ONE HAND PUSH,Other description
ONE HANDED PUSH,Other description
ONE PROBE STRUCK,Taser
ONGUARD THRUST,Other description
OPEN  HAND  STRIKE,Open hand strike
OPEN  SUBJECTS MOUTH ,Other description
OPEN FIELD TACKLE,Other description
OPENED LID REMOVED HAND,Other description
OPENED RIGHT HAND,Other description
OPENED SUBJECTS HAND ,Other description
"OPNHND STRK,PRESS SEN AREA",open hand strike
ORD. SUBJECT TO TURN OFF ENGIE,Verbal direction/control techniques
ORDER OFF TO DROP HIS WEAPON,Verbal direction/control techniques
"ORDER TO STOP, DID NOT COMPLY",Verbal direction/control techniques
ORDERED ARREST,Verbal direction/control techniques
ORDERED CITIZEN TO CALL 911,Verbal direction/control techniques
ORDERED DOG TO BE REMOVED ,Verbal direction/control techniques
ORDERED HANDS BEHIND BACK,Verbal direction/control techniques
ORDERED OFF. TO DROP WEAPON,Verbal direction/control techniques
ORDERED OFF. TO RESTRAIN DOG,Verbal direction/control techniques
ORDERED SUBJ TO LEAVE PREMISES,Verbal direction/control techniques
ORDERED SUBJ TO STOP,Verbal direction/control techniques
ORDERED SUBJECT TO DROP KNIFE,Verbal direction/control techniques
ORDERED SUBJECT TO DROP THE WE,Verbal direction/control techniques
ORDERED SUBJECT TO DROP WEAPON,Verbal direction/control techniques
ORDERED SUBJECT TO STOP,Verbal direction/control techniques
ORDERED TO DROP,Verbal direction/control techniques
ORDERED TO DROP WEAAPONS,Verbal direction/control techniques
ORDERED TO DROP WEAPONS,Verbal direction/control techniques
ORDERED TO GROUND,Verbal direction/control techniques
ORDERED TO STOP,Verbal direction/control techniques
ORDERED TO SURRENDER,Verbal direction/control techniques
OTHER OFFICER CONSTRANTS,Other description
OTHER P.O.'S ASSISTED,Member presence
OTHER R/OS ARRESTED,Member presence
OVERCAME RESISTANCE W/ASSIST,Other description
OVERPOWER AND RESTRAIN SUBJECT,Other description
OVERPOWER WITH ASSIST,Other description
OVERPOWERED W/ASSIST,Other description
OVERPOWERED W/P.O. ASSISTANCE,Other description
P.O ALI PUSHED OFFENDER OFF,Other description
P.O GAVE CHASE,Other description
P.O MOVE OUT DIR OF VEHICLE,Other description
P.O REDIRECTED OFFENDERS FACE,Other description
P.O WALKER EFFECTED ARREST,Other description
P.O. ASSISTANCE,Member presence
P.O. BAY TARGETED SUBJ.W LASER,Other description
P.O. BROKE WINDOW TO EXTRACT,Other description
P.O. FLED UN-ARMED,Other description
P.O. GRABBED THE SUBJECT'S  AN,Other description
P.O. MOVED OUT DIRECTION OF VE,Other description
P.O. MOVED OUT OF DIRECTION OF,Other description
P.O. PURSUED OFFENDER,Other description
P.O. PURSUIED OFFENDER ,Other description
P.O. PUSHED SUBJECT AWAY,Other description
P.O. STEPPED AWAY FROM SPIT,Other description
P.O. TOOK KNIVE AWAY,Other description
P.O.GRABBED SUBJECT'S ANKLES T,Other description
P.O.ONLY USED ACTIVE RES.MOVES,Other description
P.O'S STATIONARY POSITION ,Member presence
P/O ASSISTANCE,Member presence
P/O FELL INTO WALL,Other description
P/O GRABBED SUBJECT,Other description
"P/U SUB., CARRIED TO SQUADROL.",Other description
PAIN COMPLIANCE,Other description
PAIN COMPLIANCE CONTROL/PRESSU,Other description
PAIN COMPLIANCE TO COLLAR BONE,Other description
PARTNER ARRESTED,Other description
PARTNER ASSISTANCE,Other description
PARTNER COMPLETED ARREST,Other description
PARTNER ENGAGED OFFENDER,Other description
PARTNER OFFICER ASSISTED,Other description
PARTNER SUBDUED OFFENDER,Other description
PARTNER TOOK ACTIONS ,Other description
PARTNER'S ASSISTANCE,Other description
PAT DOWN,Other description
PEPPER DISCHARGE BY PARTNER,OC/Chemical weapon
PEPPER SPRAY,OC/Chemical weapon
PEPPER SPRAYED,OC/Chemical weapon
PERSUED BY FOOT,Other description
PERSUED OFFENDER,Other description
PHISICALLY DISARM ASSAILANT,Other description
PHISICALLY DISARMED ASSAILANT,Other description
PHISICALLY DUSARM ASSAILANT,Other description
PHISICALLY HELD ARMS AND LEGS,Other description
"PHONED ""911"" FOR ASSISTANCE",Verbal direction/control techniques
PHONED 911,Verbal direction/control techniques
PHYISCALLY GUIDE/CARRY ,Other description
PHYS FORCE TO PLACE OFF IN CAR,Other description
PHYS PULLED OFNDR INTO VEH,Other description
PHYSICAL  REMOVAL,Other description
PHYSICAL ARREST,Other description
PHYSICAL ASSISTANCE,Other description
PHYSICAL CONTROL,Other description
PHYSICAL CONTROL ,Other description
PHYSICAL CONTROL OF LEGS,Other description
PHYSICAL DIRECTION.,Other description
PHYSICAL FORCE,Other description
PHYSICAL HOLD,Other description
PHYSICAL PAT-DOWN/FLASH MESSAG,Other description
PHYSICAL RESPONSE,Other description
PHYSICAL RESTRAINT,Other description
PHYSICAL RESTRAINT USING HANDS,Other description
PHYSICAL RESTRAINT WITH HANDS,Other description
PHYSICAL SEPERATION,Other description
PHYSICAL SEPERATION ,Other description
PHYSICALLY CARRIED OFF,Other description
PHYSICALLY CARRIED OUT OF CAR,Other description
PHYSICALLY CARRIED SUBJECT,Other description
PHYSICALLY CARRIED TO WAGON,Other description
PHYSICALLY CARRIED TO WAGON ,Other description
PHYSICALLY CONTROLLED SUBJECT,Other description
PHYSICALLY DISARMED ASSAILANT,Other description
PHYSICALLY DISPLAYED,Other description
PHYSICALLY GRABBED,Other description
PHYSICALLY GRABBED OFFENDER,Other description
PHYSICALLY HAD TO RESTRAIN ,Other description
PHYSICALLY LIFTED SUBJECT,Other description
PHYSICALLY MOVED OFFENDER ,Other description
PHYSICALLY MOVED SUBJECT,Other description
PHYSICALLY PICK UP BY ARMS,Other description
PHYSICALLY PLACED IN CAR,Other description
PHYSICALLY PLACED INTO CAR,Other description
PHYSICALLY PULLED  BY ARMS,Other description
PHYSICALLY PUSHED INTO VEHICLE,Other description
PHYSICALLY REMOVE FROM SQUAD C,Other description
PHYSICALLY RESTAINED OFFENDER ,Other description
PHYSICALLY RESTRAIN,Other description
PHYSICALLY RESTRAIN AND CARRY,Other description
PHYSICALLY RESTRAINED,Other description
PHYSICALLY RESTRAINED ARM,Other description
PHYSICALLY RESTRAINED LEGS,Other description
PHYSICALLY RESTRAINED OFF.,Other description
PHYSICALLY RESTRAINED SUBJECT,Other description
PHYSICALLY RESTRAINING SUBJECT,Other description
PHYSICALLY SEPARATED VIC & OFF,Other description
PHYSICALLY SUBDUE/LIFT SUBJECT,Other description
PHYSICALLY SUBDUED/LIFTED,Other description
PHYSICALLY TOOK SUBJECT DOWN.,Other description
PICK UP FROM GROUND,Verbal direction/control techniques
"PICK-UP, PLACE INTO SQUADROL",Verbal direction/control techniques
PICKED SUBJECT UP PLACED ON GR,Verbal direction/control techniques
PICKED UP,Verbal direction/control techniques
PICKED UP ,Verbal direction/control techniques
PICKED UP ARRESTEE FROM GROUND,Verbal direction/control techniques
PICKED UP BY SHIRT/UPPER BODY,Verbal direction/control techniques
PICKED UP FROM GROUND,Verbal direction/control techniques
PICKED UP LEGS ,Verbal direction/control techniques
PICKED UP OFFENDER,Verbal direction/control techniques
PICKED UP OFFENDER FROM GROUND,Verbal direction/control techniques
PICKED UP OFFENDER TO VEHICLE,Verbal direction/control techniques
PICKED UP SUBJECT ,Verbal direction/control techniques
PICKED UP UNDER LEFT ARM,Verbal direction/control techniques
PIN AGAINST FENCE/ TAKEN DOWN,Other description
PIN TECHNIQUE,Other description
PINCHED FOOT BETWEEN R/O LEGS ,Other description
PINED ARMS,Other description
PINNED AGAINST SQUAD CAR,Other description
PINNED AGAINST VEHICLE,Other description
PINNED AGAINST WALL,Other description
PINNED AGAINST WALL TO HANDCUF,Other description
PINNED AGAINST WALL WITH ARM,Other description
PINNED ARMS,Other description
PINNED ARMS AND LEGS DOWN,Other description
PINNED DOWN ON CAR,Other description
PINNED DOWN UNTIL TASING,Other description
PINNED FEET TO GROUND,Other description
PINNED HIS LEG TO GROUND,Other description
PINNED LEGS DOWN,Other description
PINNED OFF. WITH DEPT. VEH,Other description
PINNED OFFENDER TO GROUND,Other description
PINNED OFFENDERS ARMS,Other description
PINNED RESISTER AGAINST FENCE,Other description
PINNED SUBJECT AGAINST SQUAD,Other description
PINNED SUBJECT AGAINST WALL,Other description
PINNED SUBJECT DOWN,Other description
PINNED SUBJECT DOWN ,Other description
PINNED SUBJECT ON A WALL,Other description
PINNED SUBJECT ON GROUND,Other description
PINNED SUBJECT TO A VEHICLE,Other description
PINNED SUBJECT TO VEHICLE,Other description
PINNED SUBJECT UP AGAINST WALL,Other description
PINNED TO FLOOR,Other description
PINNED TO FLOOR TO CONTROL SUB,Other description
PINNED TO FRONT PORCH RAILING,Other description
PINNED TO WALL TO GAIN CONTROL,Other description
PINNED TO WALL TO SECURE,Other description
PINNED UNTIL TASING,Other description
PINNED UNTIL TAZING,Other description
PINNING TECHNIQUE,Other description
PIT BULL,Other description
PIVOT AWAY,Other description
PIVOTED SHOVE TO THE CHEST,Other description
PLACE ARMS BEHIND BACK,Other description
PLACE HAND ON TOP SUBJECT HEAD,Other description
PLACE OFFENDER IN SQUAD CAR,Other description
PLACE SUBJECT IN CUSTODY,Other description
PLACE SUBJECT INTO CUSTODY,Other description
PLACED AGAINST VEHICLE. ,Other description
PLACED ARM ACROSS CHEST ,Other description
PLACED ARM BEHIND BACK,Other description
PLACED ARMS BEHIND BACK ,Other description
PLACED ARRESTEE INTO LEG IRONS,Other description
PLACED ARRESTEES LEG IN SQUAD,Other description
PLACED BACK IN PADDED CELL,Other description
PLACED BACK IN WAGON,Other description
PLACED BACK INTO CELL.,Other description
PLACED BACK INTO WAGON,Other description
PLACED CAR INTO PARK,Other description
PLACED FOOT ON OFFENDER CHEST,Other description
PLACED FOREARM IN UPPER TORSO ,Other description
PLACED HAND ON ARM,Other description
PLACED HAND ON SUBJECT'S HEAD,Other description
PLACED HANDS BEHIND BACK,Other description
PLACED HER AGAINST FENCE,Other description
PLACED HER AGAINST VEHICLE.,Other description
PLACED HER UP AGAINST FENCE,Other description
PLACED IN CAGE CAR,Other description
PLACED IN CUSTDOY,Other description
PLACED IN CUSTODY,Other description
PLACED IN CUSTODY ,Other description
PLACED IN CUSTODY BY ASSIST ,Other description
PLACED IN CUSTODY EMER TAKEDOW,Other description
PLACED IN CUSTODY FOR ASSAULT,Other description
PLACED IN CUSTODY W/O INCIDENT,Other description
"PLACED IN CUSTODY, NO FORCE",Other description
PLACED IN CUSTODY.,Other description
PLACED IN INTERVIEW ROOM,Other description
PLACED IN SEPERATED SQUAD CAR,Other description
PLACED IN SQUAD CAR,Other description
PLACED IN VEHICLE,Other description
PLACED IN WAGON,Other description
PLACED IN WAGON FOR TRANSPORT,Other description
PLACED INCUSTODY,Other description
PLACED INTO CAGE CAR,Other description
PLACED INTO CELL,Other description
PLACED INTO CUSTODY,Other description
PLACED INTO CUSTODY ,Other description
PLACED INTO CUSTODY BY ASSIST ,Other description
PLACED INTO CUSTODY W/ ASSIST,Other description
PLACED INTO CUSTODY W/O INCID.,Other description
PLACED INTO CUSTODY W/O INCIDE,Other description
PLACED INTO LEG IRONS,Other description
PLACED INTO SQUAD,Other description
PLACED INTO SQUADCAR,Other description
PLACED INTO SQUADROL,Other description
PLACED INTO THE WAGON,Other description
PLACED KNE  ON SUBJECT'S BACK,Other description
PLACED LASERS ON OFFENDER,Other description
PLACED LEGS INSIDE SQUADROL,Other description
PLACED MEDICAL MASK OVER FACE ,Other description
PLACED OFF IN CUSTODY,Other description
PLACED OFF. AGAINST CAR,Other description
PLACED OFF''S SHIRT OVER HEAD,Other description
PLACED OFFDR INTO WHEEL CHAIR,Other description
PLACED OFFENDER AGAINST CAR,Other description
PLACED OFFENDER AGAINST CAR ,Other description
PLACED OFFENDER FLAT ON HER SC,Other description
PLACED OFFENDER IN CUSTODY,Other description
PLACED OFFENDER IN SQUADROLL,Other description
PLACED OFFENDER IN VEHICLE,Other description
PLACED OFFENDER INTO CUSTODY,Other description
PLACED OFFENDER INTO VEHICLE,Other description
PLACED OFFENDER ON HOOD OF VEH,Other description
PLACED OFFENER INTO CUSTODY,Other description
PLACED OFFNDR IN VEHICLE,Other description
PLACED ON THE GROUND ,Other description
"PLACED OUT ARM, STATING ""STOP""",Other description
PLACED OVER PICNIC TABLE,Other description
PLACED RIGHT FOOT ON LEG ,Other description
PLACED RO'S BODY AGAINST OFF.,Other description
PLACED SHACKLES ON ANKLES,Other description
PLACED SHACKLES ON HIS LEGS ,Other description
PLACED SUBECT IN CUSTODY,Other description
PLACED SUBECT ON THE GROUND,Other description
PLACED SUBJ TO VEHICLE,Other description
PLACED SUBJECT AGAINST SQUAD ,Other description
PLACED SUBJECT CONTROL HOLD,Other description
PLACED SUBJECT IN CONTROL HOLD,Other description
PLACED SUBJECT IN COUSTODY,Other description
PLACED SUBJECT IN CUSTODY,Other description
PLACED SUBJECT IN CUSTODY ,Other description
PLACED SUBJECT IN HOLDING CELL,Other description
PLACED SUBJECT IN SQUADROL,Other description
PLACED SUBJECT INTO CUSTODY,Other description
PLACED SUBJECT UNDER ARREST,Other description
PLACED UNDER ARREST,Other description
PLACED WEIGHT ON UPPER TORSO,Other description
PLACEDDISTANCE BETWEEN R/O,Other description
PLACING OFEN IN CAR,Other description
PLACING SUBJECT IN THE WAGON,Other description
PLACING SUBJECT IN VEHICLE,Other description
PLEAD WITH TO COOPERATE,Other description
PO (S) ENGAGED IN FOOT PURSUIT,Other description
PO ASSISTANCE,Member presence
PO FELL ON TOP OF OFFENDER,Other description
PO GRABBED OFFENDER,Other description
PO GRABER PUSHED OFFENDER ,Other description
PO GRABER PUSHED OFFENDER BACK,Other description
PO HELD OFFENDER HEAD DOWN ,Other description
PO KAHN #17785 ARESTTED OFF ,Other description
PO LAID ON THE OFFENDERS LEG,Other description
PO PULLED ARM AWAY FROM OFFEND,Other description
PO PULLED HAND AWAY,Other description
PO PUSHED OFFENDER OUT OF WAY ,Other description
PO'S ASSISTANCE ,Other description
PO'S ENGAGED IN A FOOT PURSUIT,Other description
POINTED SERVICE WEAPON,Other description
POINTED WEAPON,Other description
POINTED WEAPON AT ARRESTEE,Other description
POINTED WEAPON AT OFFENDER,Other description
POINTED WEAPON AT SUBJECT,Other description
POINTED WEAPON TO OFFENDER,Other description
POLICE HAND HELD RADIO,Other description
POLICE RADIO,Other description
POLICE VEHICLE,Other description
PORT ARMS  PUSH ,Other description
PORT ARMS PUSH ,Other description
POSITION,Member presence
POSITIONED HEAD,Other description
PREPARED SELF FOR IMPACT,Other description
PRESENT SPRAY BOTTLE,OC/Chemical weapon
PRESSED OFF. AGAINST SQUAD CAR,Other description
PRESSED SUBJECT AGAINST VEHICL,Other description
PRESSED SUBJECT UP AGAINST VEH,Other description
PREVENT F /JUMPING 3RD FL.,Other description
PREVENT INGESTING NARCOTICS,Other description
PREVENTED FROM STANDING,Other description
PREVENTED WINDOW CLOSING,Other description
PREVENTED/SECURED OTHER ATTACK,Other description
PRIED ARMS,Other description
PRIED FINGERS OFF FENCE,Other description
PRIED HANDS FROM P.O.'S LEGS,Other description
PRIED HANDS FROM PO'S LEGS,Other description
PRIED/PULLED OFF OF CO-ARRESTE,Other description
PROBE DID NOT DISCHARGE,Taser
PROBE DID NOT MAKE CONTACT,Taser
PROBE DISCHARGE MISSED,Taser
PROBE FAILED TO DEPLOY,Taser
PROBE MADE NO CONTACT,Taser
PROBE NOT DISCHARGED,Taser
PROBES DID NOT CONNECT,Taser
PROBES DID NOT PENETRATE,Taser
PROBES DID NOT STRIKE SUBJECT,Taser
PROBES FAILED TO DEPLOY,Taser
PROBES NOT DISCHARGED,Taser
PROBS DID NOT PENETRATE SKIN,Taser
PRODUCED POLICE STAR,Other description
PRODUCED SERVICE WEAPON,Other description
PRONOUNCED OFFICE,Other description
PROTECTED GROIN AREA ,Other description
PRY FINGERS FROM FENCE ,Other description
PSA,Verbal direction/control techniques
PSA USED,Verbal direction/control techniques
PSUHED AND PULLED SUBJECT INTO,Other description
PULL AWAY FOR SAFETY,Other description
PULL AWAY FROM OFFENDER,Other description
PULL BACK TO CLOSE DOOR,Other description
PULL BACKWARDS TO GROUND,Other description
PULL DOWN,Other description
PULL SUBJECT FORM SQUAD CAR,Other description
PULL SUBJECT FROM VEHICLE,Other description
PULL TO LOOK UP REFUSE TO WALK,Other description
PULL/ CARRY,Other description
PULL/ CARRY INTO SQUAD CAR,Other description
PULL/CARRY,Other description
PULL/PUSH OFF. INTO SQUAD CAR,Other description
PULLED,Other description
PULLED  FROM AUTO,Other description
PULLED  OFFENDER BY HAIR,Other description
PULLED AND GRABBED PUGH PRINCE,Other description
PULLED AND GRABBED WORDLAW,Other description
PULLED AND PUSHED ARRESTEE ,Other description
PULLED AND SHOVED,Other description
PULLED ARM,Other description
PULLED ARM AWAY,Other description
PULLED ARM BEHIND BACK.,Other description
PULLED ARM FOR CONTROL,Other description
PULLED ARM FROM GRASP,Other description
PULLED ARM OUT CAR WINDOW,Other description
PULLED ARM TO REMOVE FROM CAR,Other description
PULLED ARM/HAIR FOR CONTROL,Other description
PULLED ARMS AND HANDS TOGETHER,Other description
PULLED ARMS APART,Other description
PULLED ARMS BEHIND BACK,Other description
PULLED ARMS BEHIND HIS BACK,Other description
PULLED ARMS FROM UNDER BODY,Other description
PULLED ARMS TOGETHER,Other description
PULLED ARRESTEE BY THE LEG ,Other description
PULLED ARRESTEE HAND OFF OFFCR,Other description
PULLED ARRESTEE OUT OF VEHICLE,Other description
PULLED ARRSTEE FROM CAR WINDOW,Other description
PULLED ASSAILANT OFF OF VICTIM,Other description
PULLED AWAY,Other description
PULLED AWAY FROM  VIC,Other description
PULLED AWAY FROM ASSAILANT,Other description
PULLED AWAY FROM OFFENDER,Other description
PULLED BACK,Other description
